nombre,precio,imagen,categoria
# 4711 HOMBRE 100ML EDC MAURER AND WIRTZ,₡15000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/products/4711-hombre-100ml-edc-maurer-and-wirtz-g-242f28d478.jpg,HOMBRE
1 MILLION NIGHT ELIXIR HOMBRE 100ML PERFUME PACO RABANNE,₡59000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/1-million-night-elixir-hombre-100ml-perfume-paco-rabanne.png,HOMBRE
18 FUEGO HOMBRE 100ML EDT PERRY ELLIS,₡31000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/18-fuego-hombre-100ml-edt-perry-ellis.jpg,HOMBRE
18 HOMBRE 100ML EDT PERRY ELLIS,₡22000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/18-hombre-100ml-edt-perry-ellis.jpg,HOMBRE
18 INTENSE HOMBRE 100ML EDT PERRY ELLIS,₡22000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/18-intense-hombre-100ml-edt-perry-ellis.jpg,HOMBRE
1920 THE ORIGIN TOUS HOMBRE 100ML EDP TOUS,₡30000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/1920-the-origin-tous-hombre-100ml-edp-tous.png,HOMBRE
212 HEROES FOREVER YOUNG HOMBRE 90ML EDT CAROLINA HERRERA,₡49000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-heroes-forever-young-hombre-90ml-edt-carolina-herrera.jpg,HOMBRE
212 HEROES MTV HOMBRE 90ML EDT CAROLINA HERRERA,₡47000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-heroes-mtv-hombre-90ml-edt-carolina-herrera.jpg,HOMBRE
212 HOMBRE 100ML EDT CAROLINA HERRERA,₡42000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-hombre-100ml-edt-carolina-herrera.jpg,HOMBRE
212 HOMBRE 200ML EDT CAROLINA HERRERA,₡58000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-hombre-200ml-edt-carolina-herrera.jpg,HOMBRE
212 SEXY HOMBRE 100ML EDT CAROLINA HERRERA,₡40000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-sexy-hombre-100ml-edt-carolina-herrera.jpg,HOMBRE
212 VIP BLACK 200ML HOMBRE CAROLINA HERRERA,₡62000.00,https://3pspglobal.s3.us-east-2.amazonaws.com/assets/images/hombre/212-vip-black-200ml-hombre-carolina-herrera.jpg,HOMBRE
